id,name,category,one_liner,auth_methods,access_model,api_type,api_breadth,mcp_existing,buildability,main_blocker,confidence,evidence_urls,human_needed
19,Gorgias,Support and Helpdesk,"Gorgias is an ecommerce helpdesk with REST APIs; private apps use API keys, public apps require OAuth2.",API key|OAuth2|Basic,self_serve_trial,REST,broad,False,ready_today,,0.9,https://developers.gorgias.com/reference/authentication|https://developers.gorgias.com/docs/access-tokens-api-keys,False
20,Gladly,Support and Helpdesk,Gladly is a customer service / conversational commerce platform with a developer API.,API key|OAuth2,partner_or_sales_gated,REST,moderate,False,needs_outreach,Developer access typically tied to Gladly customer/partner onboarding.,0.65,https://developer.gladly.com/,True
21,Slack,Communications and Messaging,"Slack provides a platform for team communication and collaboration through messaging, workflows, and integrations.",OAuth2|PAT / token,self_serve_free,REST+SDK+CLI,broad,False,ready_today,,0.9,https://docs.slack.dev/authentication/|https://docs.slack.dev/,False
22,Twilio,Communications and Messaging,"Twilio provides a broad set of REST APIs and SDKs to build communication applications enabling messaging, voice calls, video, email, and customer engagement across multiple channels.",Basic|API key|Bearer token,self_serve_trial,REST+SDK,broad,False,ready_today,,0.95,https://www.twilio.com/docs/usage/api|https://www.twilio.com/docs,False
23,Zoho Cliq,Communications and Messaging,"Zoho Cliq is a team chat and communication software that streamlines business communication and collaboration through chats, channels, calls, meetings, and integrations.",OAuth2,self_serve_trial,REST,broad,False,ready_today,,0.95,https://www.zoho.com/cliq/help/restapi/v2/introduction/#overview|https://www.zoho.com/cliq/,False
24,Lark (Larksuite),Communications and Messaging,"Larksuite (Lark) is a collaboration suite with an open platform REST APIs for messaging, docs, and SSO.",OAuth2,self_serve_free,REST,broad,False,ready_with_caveats,Docs are region/app-console oriented; crawler often blocked — human verified open.larksuite.com OAuth docs.,0.85,https://open.larksuite.com/document/common-capabilities/sso/api/obtain-oauth-code|https://open.larksuite.com/document/,True
25,Pumble,Communications and Messaging,"Pumble is a free business communication tool that enables team messaging, channels, video calls, and integrations with an API for sending messages and managing channels.",API key,self_serve_free,REST,moderate,True,ready_today,,0.95,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/|https://pumble.com,False
26,Discord,Communications and Messaging,"Discord is a communication platform that enables group chat, voice, and video interactions primarily for gaming and community building.",OAuth2|Bearer token,self_serve_free,REST,broad,False,ready_today,,0.9,https://docs.discord.com/developers/intro|https://discord.com,False
27,Telegram,Communications and Messaging,"Telegram provides APIs for building bots, custom clients, and sending verification codes via Telegram messages.",PAT / token,self_serve_free,REST,broad,False,ready_today,,1.0,https://core.telegram.org/bots/api|https://core.telegram.org,False
28,WhatsApp Business,Communications and Messaging,"Meta WhatsApp Cloud API for business messaging, templates, and webhooks.",OAuth2|Bearer token,admin_approval,REST,broad,False,ready_with_caveats,Business verification + WABA setup; not a one-click API key.,0.85,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,True
29,Aircall,Communications and Messaging,"Aircall is an AI-powered customer communications platform that enables team-led, AI-assisted, and AI-led voice and messaging interactions integrated with business tools.",API key|OAuth2|Bearer token,self_serve_trial,REST+MCP+SDK,broad,False,ready_today,,0.95,https://developer.aircall.io/|https://aircall.io,False
30,Vonage,Communications and Messaging,"Vonage provides a suite of communication APIs enabling developers to send messages, make calls, and manage communications via virtual numbers and other channels.",Basic|JWT,self_serve_trial,REST,broad,False,ready_today,,0.9,https://developer.vonage.com/en/getting-started/overview,False
31,Google Ads,"Marketing, Ads, Email and Social","The Google Ads API is a programmatic interface for managing large or complex Google Ads accounts and campaigns, enabling automated account management, custom reporting, ad management, and Smart Bidding strategy management.",OAuth2,self_serve_free,REST,broad,False,ready_today,,0.9,https://developers.google.com/google-ads/api/docs/get-started/introduction|https://developers.google.com/google-ads,False
32,Meta Ads,"Marketing, Ads, Email and Social","The Meta Marketing API enables developers to create, manage, and optimize ad campaigns across Meta technologies including Facebook, Instagram, Messenger, and WhatsApp.",OAuth2,self_serve_free,Graph API,broad,False,ready_today,,0.9,https://developers.facebook.com/documentation/ads-commerce/marketing-api,False
33,LinkedIn Ads,"Marketing, Ads, Email and Social","LinkedIn Ads provides APIs to create and manage marketing campaigns, target audiences, track performance, manage leads, and gain audience insights on LinkedIn.",OAuth2,partner_or_sales_gated,REST,broad,False,ready_with_caveats,Access requires approval and adherence to integration requirements; not openly self-serve.,0.9,https://learn.microsoft.com/en-us/linkedin/marketing/?view=li-lms-2026-09,False
34,GoHighLevel,"Marketing, Ads, Email and Social",GoHighLevel is an all-in-one CRM / marketing automation platform for agencies with public REST integrations APIs.,OAuth2|API key,self_serve_trial,REST,broad,False,ready_with_caveats,Fetcher could not reliably scrape Stoplight JS docs; human opened highlevel.stoplight.io.,0.75,https://highlevel.stoplight.io/docs/integrations/|https://marketplace.gohighlevel.com/,True
35,Mailchimp,"Marketing, Ads, Email and Social","Mailchimp provides APIs to manage marketing campaigns, audiences, transactional emails, and commerce integrations for businesses.",OAuth2,self_serve_free,REST,broad,False,ready_today,,0.95,https://mailchimp.com/developer/marketing/|https://mailchimp.com/developer/,False
36,Klaviyo,"Marketing, Ads, Email and Social","Klaviyo provides APIs and SDKs to build personalized marketing experiences, custom integrations, and reporting tools for businesses.",API key|Other,self_serve_free,REST,broad,False,ready_today,,0.9,https://developers.klaviyo.com/en,False
37,systeme.io,"Marketing, Ads, Email and Social","systeme.io is an all-in-one platform for building sales funnels, email marketing, online courses, and managing online businesses.",API key,self_serve_free,REST,moderate,False,ready_today,,0.95,https://developer.systeme.io/reference/api|https://systeme.io,False
38,Pinterest,"Marketing, Ads, Email and Social","Pinterest API enables developers to integrate with Pinterest to plan content, manage ads, upload product feeds, and analyze data.",OAuth2,self_serve_free,REST,broad,False,ready_today,,0.9,https://developers.pinterest.com,False
39,Threads (Meta),"Marketing, Ads, Email and Social","The Threads API enables developers to build integrations to manage Threads presence, create posts, retrieve media, moderate replies, and access insights for creators and brands.",OAuth2,self_serve_free,REST,moderate,False,ready_today,,0.9,https://developers.facebook.com/documentation/threads,False
40,SendGrid,"Marketing, Ads, Email and Social","SendGrid provides a REST API to send email at scale, manage marketing campaigns, contacts, and monitor email statistics.",API key,self_serve_trial,REST,broad,False,ready_today,,0.95,https://www.twilio.com/docs/sendgrid/api-reference|https://www.twilio.com/en-us/sendgrid,False
41,Shopify,Ecommerce,"Shopify provides comprehensive APIs and tools to build, customize, and extend ecommerce stores and experiences across admin, storefront, checkout, and more.",OAuth2|API key|Bearer token,self_serve_free,REST+GraphQL+SDK+CLI,broad,False,ready_today,,1.0,https://shopify.dev/docs/api|https://shopify.dev/docs,False
42,WooCommerce,Ecommerce,"WooCommerce provides a REST API that connects your store to external systems and services, allowing data retrieval and management via API keys.",API key,self_serve_free,REST,broad,False,ready_today,,1.0,https://woocommerce.com/document/woocommerce-rest-api/,False
43,BigCommerce,Ecommerce,"BigCommerce provides a commerce platform with REST and GraphQL APIs to manage storefronts, products, orders, customers, and integrations.",Bearer token|API key,self_serve_trial,REST+GraphQL,broad,False,ready_today,,1.0,https://docs.bigcommerce.com/developer/api-reference/rest/admin/catalog/brands|https://docs.bigcommerce.com/developer/docs/overview/quick-start,False
44,Salesforce Commerce Cloud,Ecommerce,Salesforce B2C Commerce (Commerce Cloud) exposes SCAPI / commerce APIs for storefront and admin commerce operations.,OAuth2,paid_plan_required,REST,broad,False,ready_with_caveats,Needs a Commerce Cloud tenant; docs are public but credentials are customer/partner gated.,0.8,https://developer.salesforce.com/docs/commerce/commerce-api/guide|https://developer.salesforce.com/docs/commerce,True
45,Magento (Adobe Commerce),Ecommerce,"Adobe Commerce (Magento) provides a comprehensive ecommerce platform with REST, GraphQL, and SOAP APIs for integration and customization.",OAuth 1.0a|PAT / token|login credentials,admin_approval,REST+GraphQL,broad,False,ready_today,,0.95,https://developer.adobe.com/commerce/webapi/get-started/|https://developer.adobe.com/commerce/,False
46,Squarespace,Ecommerce,"Squarespace provides Commerce APIs to manage customer contacts, orders, products, inventory, and transactions for ecommerce storefronts.",OAuth2|API key|Bearer token,self_serve_free,REST,moderate,False,ready_today,,1.0,https://developers.squarespace.com/commerce-apis/contacts|https://developers.squarespace.com,False
47,Ecwid,Ecommerce,"Ecwid is an ecommerce platform with REST APIs; custom apps use Bearer secret tokens, public apps use OAuth2.",Bearer token|OAuth2,self_serve_free,REST,broad,False,ready_today,,0.9,https://docs.ecwid.com/get-started/make-your-first-api-request|https://api-docs.ecwid.com/,False
48,Gumroad,Ecommerce,"Gumroad is a creator commerce platform with a REST OAuth API for products, sales, and licenses.",OAuth2|Bearer token,self_serve_free,REST,moderate,False,ready_today,,0.9,https://gumroad.com/api|https://gumroad.com/help/article/280-create-application-api,False
49,Amazon Selling Partner,Ecommerce,Amazon Selling Partner API (SP-API) enables developers to create applications for sellers and vendors to manage their Amazon selling operations.,OAuth2,partner_or_sales_gated,REST,broad,False,ready_with_caveats,"Requires Amazon Selling Partner / developer registration and approval — public docs exist, credentials are gated.",0.85,https://developer-docs.amazon.com/sp-api/docs,True
50,fanbasis,Ecommerce,"Fanbasis is a creator ecommerce / monetization platform (funnels, community, payments).",API key,paid_plan_required,REST,moderate,False,ready_with_caveats,Public docs thin; product naming/docs surface needs human confirmation for full toolkit scope.,0.55,https://fanbasis.com/,True
51,DataForSEO,"Data, SEO and Scraping","DataForSEO provides SEO/SERP data APIs (keyword, backlinks, on-page) over REST.",Basic,self_serve_trial,REST,broad,False,ready_today,,0.95,https://docs.dataforseo.com/v3/auth/|https://docs.dataforseo.com/v3/,False
52,SE Ranking,"Data, SEO and Scraping","SE Ranking provides a comprehensive SEO and AEO data API for automating SEO workflows, including keyword research, backlink monitoring, domain analysis, site audits, and AI search visibility.",API key,self_serve_trial,REST,broad,True,ready_today,,1.0,https://seranking.com/api.html,False
53,Ahrefs,"Data, SEO and Scraping","Ahrefs provides APIs to access marketing and search data for SEO analysis, backlink research, rank tracking, and brand monitoring.",OAuth2|API key,paid_plan_required,REST,broad,False,ready_today,,1.0,https://docs.ahrefs.com,False
54,MrScraper,"Data, SEO and Scraping",MrScraper is an AI-powered web scraping platform that automates data extraction from websites using customizable agents and APIs.,PAT / token,paid_plan_required,REST+SDK+MCP+CLI,broad,True,ready_today,,1.0,https://docs.mrscraper.com/docs/getting-started/overview,False
55,Apify,"Data, SEO and Scraping","Apify provides a RESTful API and SDKs to run, manage, and monitor web scraping and automation Actors on its platform.",Bearer token|API key|Other,self_serve_free,REST+SDK,broad,True,ready_today,,1.0,https://docs.apify.com/api/v2|https://docs.apify.com,False
56,Firecrawl,"Data, SEO and Scraping","Firecrawl is a web data API that enables AI agents and developers to search, scrape, and interact with live web content at scale, delivering clean, LLM-ready data.",None / CLI local|API key|Bearer token,self_serve_trial,REST+SDK+CLI+MCP,broad,True,ready_today,,1.0,https://docs.firecrawl.dev/introduction|https://www.firecrawl.dev/,False
57,Bright Data,"Data, SEO and Scraping","Bright Data provides a comprehensive web data infrastructure platform offering scraping APIs, proxy networks, datasets, and AI tools for real-time and historical web data extraction and access.",API key|Bearer token,self_serve_trial,REST+SDK+MCP+CLI,broad,True,ready_today,,1.0,https://docs.brightdata.com/introduction|https://brightdata.com,False
58,Sherlock,"Data, SEO and Scraping",Sherlock is a CLI tool to find social media accounts by username across 400+ social networks.,None / CLI local,open_source_local,CLI,broad,False,ready_today,,1.0,https://github.com/sherlock-project/sherlock,False
59,Waterfall.io,"Data, SEO and Scraping","Waterfall.io provides a B2B data solution offering verified contact and company intelligence via a REST API for prospecting, enrichment, and job change detection.",API key,paid_plan_required,REST,broad,False,ready_today,,1.0,https://www.waterfall.io/|https://docs.waterfall.io/v1/introduction,False
60,Clay,"Data, SEO and Scraping","Clay provides a platform to build agentic workflows that integrate data from 200+ providers, automate GTM plays, and enrich CRM data for sales and marketing teams.",API key|Other,self_serve_trial,REST+CLI,broad,False,ready_today,,0.9,https://www.clay.com/|https://university.clay.com/,False
61,GitHub,"Developer, Infra and Data platforms","GitHub REST API enables creating integrations, retrieving data, and automating workflows with GitHub.",OAuth2|Bearer token|PAT / token|Basic,self_serve_free,REST,broad,False,ready_today,,0.95,https://docs.github.com/en/rest|https://docs.github.com/en/rest/authentication,False
62,Vercel,"Developer, Infra and Data platforms","Vercel provides a REST API to programmatically interact with Vercel accounts, projects, deployments, and related infrastructure for frontend teams.",Bearer token|OAuth2,self_serve_free,REST,moderate,False,ready_today,,0.9,https://vercel.com/docs/rest-api,False
63,Netlify,"Developer, Infra and Data platforms","Netlify provides a REST API to manage site deployments, form submissions, DNS, and other site-related operations.",OAuth2|PAT / token|Bearer token,self_serve_free,REST,broad,False,ready_today,,1.0,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,False
64,Cloudflare,"Developer, Infra and Data platforms","Cloudflare provides a comprehensive REST API for managing accounts, organizations, tokens, zones, load balancers, and more within its developer and infrastructure platform.",API key|Bearer token|PAT / token,self_serve_free,REST,broad,False,ready_today,,1.0,https://developers.cloudflare.com/api/,False
65,Supabase,"Developer, Infra and Data platforms","Supabase provides a complete backend platform including a Postgres database, authentication, storage, realtime capabilities, and serverless functions, accessible via REST APIs and client libraries.",OAuth2|Bearer token|PAT / token,self_serve_free,REST+GraphQL,broad,False,ready_today,,0.95,https://supabase.com/docs/reference/api/introduction|https://supabase.com/docs,False
66,Neo4j,"Developer, Infra and Data platforms",Neo4j is a graph database with HTTP/Bolt APIs for Cypher queries and Aura cloud management APIs.,Basic|Bearer token,self_serve_free,REST,moderate,False,ready_with_caveats,HTTP API is legacy vs drivers/Query API — prefer official drivers for production toolkits.,0.85,https://neo4j.com/docs/http-api/current/|https://neo4j.com/docs/,False
67,Snowflake,"Developer, Infra and Data platforms",Snowflake is a cloud data platform with a SQL REST API and drivers for warehouses and data apps.,OAuth2|Key pair|PAT / token,paid_plan_required,REST,broad,False,ready_with_caveats,Needs a Snowflake account/warehouse (paid after trial) and careful auth setup.,0.9,https://docs.snowflake.com/en/developer-guide/sql-api/index,False
68,MongoDB Atlas,"Developer, Infra and Data platforms","MongoDB Atlas provides a comprehensive Administration API and related tools to programmatically manage Atlas clusters, projects, users, and deployments.",API key|Other,paid_plan_required,REST,broad,False,ready_today,,0.9,https://www.mongodb.com/docs/atlas/api/atlas-admin-api/|https://www.mongodb.com/docs/atlas/api/,False
69,Datadog,"Developer, Infra and Data platforms","Datadog provides a comprehensive monitoring and analytics platform with APIs to integrate, collect, and manage infrastructure, application, and security data.",OAuth2|API key,paid_plan_required,REST,broad,False,ready_today,,0.9,https://docs.datadoghq.com/api/latest/,False
70,Sentry,"Developer, Infra and Data platforms",Sentry provides a web API to programmatically access and manage account-level resources and data on the Sentry platform.,PAT / token,self_serve_free,REST,broad,False,ready_today,,0.9,https://docs.sentry.io/api/,False
71,Notion,Productivity and Project Management,"Notion provides a RESTful API to access and manipulate pages, databases, and users within Notion workspaces.",Bearer token|PAT / token|OAuth2,self_serve_free,REST,broad,False,ready_today,,1.0,https://developers.notion.com/reference/intro|https://developers.notion.com/guides/get-started/authorization,False
72,Airtable,Productivity and Project Management,"Airtable provides a structured data platform with APIs and MCP server enabling AI agents to query, update, and build bases through natural language and programmatic interfaces.",OAuth2|None / CLI local,self_serve_free,MCP+CLI,broad,True,ready_today,,1.0,https://airtable.com/developers/agents,False
73,Linear,Productivity and Project Management,Linear is an issue tracking / project management tool with a GraphQL API for teams and agents.,OAuth2|API key,self_serve_free,GraphQL,broad,False,ready_today,,0.95,https://developers.linear.app/docs,False
74,Jira,Productivity and Project Management,"Jira provides a comprehensive REST API to programmatically interact with Jira Cloud for building apps, integrations, and automations.",OAuth2|Basic|JWT-based|REST API scopes,paid_plan_required,REST,broad,False,ready_today,,1.0,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,False
75,Asana,Productivity and Project Management,"Asana provides a developer platform to build apps that extend, integrate, and automate workflows within Asana using its REST API, webhooks, and app components.",OAuth2|PAT / token,self_serve_free,REST,broad,False,ready_today,,1.0,https://developers.asana.com/docs/overview|https://developers.asana.com,False
76,Monday.com,Productivity and Project Management,"monday.com is a work OS that enables teams to create and customize workflows, collaborate, and manage projects with a flexible GraphQL API and agent integrations.",OAuth2|API key|Other,self_serve_free,GraphQL,broad,False,ready_today,,1.0,https://developer.monday.com/api-reference/docs/basics|https://developer.monday.com,False
77,ClickUp,Productivity and Project Management,ClickUp provides a productivity and project management platform with a public API and MCP server to build integrations and connect AI assistants.,OAuth2,self_serve_free,REST+MCP,broad,True,ready_today,,0.95,https://developer.clickup.com,False
78,Coda,Productivity and Project Management,"Coda is a docs-as-apps productivity platform with a REST API for docs, tables, and rows.",Bearer token|API key,self_serve_free,REST,broad,False,ready_today,,0.9,https://coda.io/developers/apis/v1,False
79,Smartsheet,Productivity and Project Management,"Smartsheet is a work management platform with REST APIs and SDKs for sheets, rows, and automations.",OAuth2|API key|Bearer token,self_serve_trial,REST,broad,False,ready_today,,0.85,https://smartsheet.redoc.ly/|https://developers.smartsheet.com/,False
80,Harvest,Productivity and Project Management,"Harvest is a time tracking and invoicing software that helps teams track hours, bill clients, manage projects, and optimize team performance.",Bearer token,self_serve_trial,REST,broad,False,ready_today,,0.95,https://help.getharvest.com/api-v2/|https://www.getharvest.com,False
81,Stripe,Finance and Fintech,"Stripe provides a broad REST API for payment processing, billing, subscriptions, and financial services.",API key|Basic|Bearer token,self_serve_free,REST,broad,False,ready_today,,1.0,https://docs.stripe.com/api|https://docs.stripe.com/keys,False
82,Plaid,Finance and Fintech,Plaid provides APIs to connect and retrieve financial data from users' bank accounts and other financial institutions for fintech applications.,API key,self_serve_trial,REST,broad,True,ready_today,,1.0,https://plaid.com/docs/api/|https://plaid.com/docs/,False
83,Binance,Finance and Fintech,Binance spot/crypto exchange with extensive REST and WebSocket market + trading APIs.,API key,self_serve_free,REST,broad,False,ready_with_caveats,Account KYC + IP restrictions / trading permissions; docs moved to developers.binance.com (JS-walled for crawlers).,0.8,https://developers.binance.com/docs/binance-spot-api-docs|https://binance-docs.github.io/apidocs/spot/en/,True
84,Paygent Connect,Finance and Fintech,Paygent Connect is an NMI-powered payment gateway with REST/emulation APIs for card processing.,API key|Security key,partner_or_sales_gated,REST,moderate,False,needs_outreach,Needs merchant account / NMI partner relationship for credentials.,0.75,https://secure.nmi.com/merchants/resources/integration/integration_portal.php,True
85,iPayX,Finance and Fintech,Unclear what iPayX specifically does due to lack of accessible documentation.,Unknown,unclear,unknown,unknown,False,not_viable_yet,No accessible API documentation or technical details available.,0.1,https://www.ipayx.ai/docs|https://www.ipayx.ai/,True
86,QuickBooks,Finance and Fintech,"Intuit QuickBooks Online accounting platform with OAuth2 REST APIs for books, invoices, and payments.",OAuth2,self_serve_free,REST,broad,False,ready_with_caveats,App review / production keys after sandbox development.,0.85,https://developer.intuit.com/app/developer/qbo/docs/get-started,True
87,Xero,Finance and Fintech,Xero provides APIs and developer tools to build integrations and automations for small business accounting and finance.,OAuth2|Client Credentials Grant,self_serve_free,REST,broad,True,ready_today,,0.95,https://developer.xero.com/documentation/getting-started-guide/|https://developer.xero.com,False
88,Brex,Finance and Fintech,"Brex is a spend platform (cards, expenses, bill pay) with REST APIs for financial workflows.",OAuth2|API key,partner_or_sales_gated,REST,moderate,False,needs_outreach,Needs Brex business relationship for meaningful sandbox/production credentials.,0.75,https://developer.brex.com/,True
89,Ramp,Finance and Fintech,"Ramp corporate card and spend platform with developer APIs for transactions, bills, and users.",OAuth2|API key,partner_or_sales_gated,REST,moderate,False,needs_outreach,Needs Ramp customer/partner relationship for meaningful sandbox credentials.,0.7,https://docs.ramp.com/,True
90,PitchBook,Finance and Fintech,"PitchBook private-market data platform with a paid REST API for companies, deals, people, and funds.",API key,partner_or_sales_gated,REST,broad,False,needs_outreach,Standalone API contract + credits required; contact sales / account manager.,0.9,https://pitchbook.com/help/PitchBook-api|https://documenter.getpostman.com/view/5190535/TzCV1iRc|https://pitchbook.com/products/direct-access-data/api,True
91,NotebookLM,"AI, Research and Media-native","Gemini Notebook Enterprise is an AI-powered research and knowledge assistant that helps summarize information, brainstorm ideas, and write with confidence, integrated within the Gemini Enterprise platform.",OAuth2|API key,paid_plan_required,REST+RPC,broad,False,ready_today,,0.9,https://docs.cloud.google.com/gemini/enterprise/docs|https://cloud.google.com/ai/gemini,False
92,Otter AI,"AI, Research and Media-native",Otter AI provides AI meeting transcription and notes; public REST docs are thin; MCP is marketed.,Unknown,unclear,MCP,unknown,True,needs_outreach,No clear self-serve developer API credentials page — outreach / partner path needed.,0.45,https://help.otter.ai/hc/en-us|https://otter.ai/,True
93,Fathom,"AI, Research and Media-native","Fathom is an AI-powered meeting notetaker that automatically captures, summarizes, and generates actionable insights from meetings.",OAuth2|API key,self_serve_free,REST,moderate,False,ready_today,,0.9,https://developers.fathom.ai/|https://www.fathom.ai/,False
94,Consensus,"AI, Research and Media-native",Consensus is an AI-powered research tool that helps users find and filter research sources.,Unknown,unclear,unknown,unknown,False,needs_outreach,No API documentation or authentication details available publicly.,0.3,https://consensus.app/|https://consensus.app,True
95,Reducto,"AI, Research and Media-native","Reducto is an agentic document platform that provides production-grade document parsing, classification, extraction, editing, and workflow orchestration at enterprise scale.",API key,self_serve_trial,REST+SDK+CLI+MCP,broad,True,ready_today,,0.95,https://docs.reducto.ai/overview|https://reducto.ai,False
96,Devin,"AI, Research and Media-native","Devin is an autonomous AI software engineer that can write, run, and test code, integrating with numerous external tools and data sources via the MCP protocol.",OAuth2|API key|None / CLI local,paid_plan_required,MCP,broad,True,ready_today,,0.95,https://docs.devin.ai/get-started/devin-intro|https://docs.devin.ai/work-with-devin/mcp,False
97,higgsfield,"AI, Research and Media-native",Higgsfield provides an AI-native creative suite enabling agents to generate high-quality images and videos using a CLI and MCP protocol integration.,None / CLI local,paid_plan_required,MCP+CLI,broad,True,ready_today,,1.0,https://higgsfield.ai/cli|https://higgsfield.ai,False
98,Mermaid CLI,"AI, Research and Media-native","Command line tool for the Mermaid library that converts Mermaid diagram definition files into SVG, PNG, or PDF files.",None / CLI local,open_source_local,CLI,narrow,False,ready_today,,1.0,https://github.com/mermaid-js/mermaid-cli,False
99,YouTube Transcript,"AI, Research and Media-native","TranscriptAPI provides a REST API and Model Context Protocol (MCP) integration to extract YouTube video transcripts, search videos, browse channels, and extract playlists at scale.",Bearer token|API key,self_serve_trial,REST+MCP,broad,True,ready_today,,1.0,https://transcriptapi.com/docs/|https://transcriptapi.com,False
100,Grain,"AI, Research and Media-native","Grain is an AI meeting notetaker that records, transcribes, and shares meeting insights.",OAuth2|API key,self_serve_trial,REST,moderate,True,ready_with_caveats,Public API docs thinner than CRM/dev platforms; confirm scopes before toolkit build.,0.65,https://grain.com/|https://support.grain.com/,True
